mano_dominante,angolo_spalla_sx,angolo_spalla_dx,angolo_anca_sx,angolo_anca_dx,angolo_gomito_dx,angolo_gomito_sx,angolo_ginocchio_sx,angolo_ginocchio_dx,fase_tiro
destro,16.980197231804134,35.21870233379039,158.8982487631224,165.05987978543817,143.6942081920994,144.37029323064462,156.4115844331371,175.47749321850966,none
destro,15.332559947189582,34.11311924054588,158.2852478440111,166.44859282926456,144.5054739108441,142.32598537337216,156.75997147304685,174.28811372672214,none
destro,13.903968338882201,31.121191824432866,154.6927487682737,165.38383618615754,144.40726852431217,139.3350822870605,154.7880950940893,175.5979916242795,none
destro,12.703743976173186,26.767709734525567,154.18342923451593,165.21248657115066,142.26960473016774,137.35013938944633,155.6171438470392,176.11718295579962,preparazione
destro,10.887101061997951,25.563536815152705,155.0336044643699,165.46284715515606,142.8657722853003,134.91537260620333,161.02221984725455,173.88843311570264,preparazione
destro,9.745990504283307,24.46287585169865,154.68548785485737,165.9076507506356,150.74269506897647,134.42396552034896,165.69602988793426,171.43044704241197,preparazione
destro,7.473541932445303,24.378530491976136,155.08397681971272,163.98192069531083,156.28056006099342,132.1004232694315,168.16196984472953,170.98602914269324,preparazione
destro,6.778194058554388,23.712754318277597,154.26285080107965,164.9317749852361,176.2750252639032,130.290418751232,174.15192216580917,171.37311014928198,preparazione
destro,6.421907871965087,21.01662616162707,153.96064998326904,163.90171110776146,164.1122543871201,128.0802639521815,178.02728638547012,171.36167022261847,preparazione
destro,6.5794820813172015,19.131965231283733,152.5321878876752,166.13540666655524,171.1707793687793,129.03543421273318,179.72111344399787,169.190846314557,preparazione
destro,7.142195638052618,18.889585484728922,152.54370052796284,166.02191057636517,167.46504153474626,125.20007989107063,177.76798979701556,167.8645719021761,preparazione
destro,8.280756259664829,19.9899203262774,152.15319745123574,164.78787292687934,162.1193680032054,121.49922528796552,178.04073462659775,168.27442733734478,preparazione
destro,9.04367981213492,19.61233123720242,151.64409901597736,165.1557177919187,155.28538557445282,114.79311771086341,179.37793226577293,167.72132090114778,estensione
destro,9.743235793398663,22.016905607756815,152.93526121396096,164.9746319629921,153.68949534009107,99.10814034895219,178.8850635295856,167.64469230834717,estensione
destro,11.161832791687194,27.788928467568418,152.6106587637509,166.96498840447336,50.67134278897349,80.5198578740116,178.93330785241486,166.63214689609032,estensione
destro,11.303509183226137,33.234203705814075,154.59203012833052,167.60788690032717,13.107386617875289,64.96486416581992,175.718763455618,164.08136979175592,estensione
destro,12.76211701035705,38.31306903275618,156.95240252775864,167.43262568211438,11.078708164200648,53.48759803044636,170.46264962869304,165.65045509763277,estensione
destro,9.377116808711163,43.60985023451384,156.76376550351597,166.13528076586252,14.520975925350605,45.947609468464826,170.88335473486262,165.90250593110014,estensione
destro,2.4630633687348964,50.009409821564844,159.8140335844118,163.59912120689773,19.860154223064047,41.73576433021596,168.14478676808963,166.83119651007797,estensione
destro,2.407962507091988,61.26916218460862,163.29677996306958,160.78339512176262,24.263231334943697,34.54102359481187,167.4333250311499,169.66941530004584,estensione
destro,12.616358582072275,70.92026073199666,166.71105257691627,159.76069688948456,31.304747669243604,19.625877368451732,165.0466097977102,170.07593084425721,estensione
destro,20.314942434818054,81.8991077537987,168.98814800722482,160.15523543515138,45.00805695153315,10.702887904906126,161.67762275763886,170.0209353758759,estensione
destro,38.65659117307526,88.82077132223834,169.23748708545887,161.74264274753654,50.19048375888754,9.21671507677467,163.31251626163873,169.12169692591058,estensione
destro,33.96386029441384,101.16586409010068,168.7281665348464,161.9727643849583,55.92853439175552,6.708157369295711,166.3912074450474,169.55670230520647,estensione
destro,25.137667639604548,102.25612426202775,166.96491459805128,164.05928355135012,56.876876677724724,1.2018891030882175,169.74805056717105,169.20978265848748,estensione
destro,13.88977295783262,107.38854355843284,165.79081333635258,164.732616274334,62.94813245656047,9.843086695143851,171.29310608427414,170.6748915482184,estensione
destro,120.000528175565,111.7797983564526,163.04100534819645,165.466735453617,67.83311630505222,136.04411033585177,173.6398142087669,173.2220976575997,estensione
destro,75.97576779527722,106.57058544414181,163.09454282793834,166.2679312230821,63.624162272860886,93.55024547734438,173.59579616618038,173.41707829858757,estensione
destro,66.87550272304169,102.33222133403746,163.28774282860968,166.4238658694788,61.292262511944884,83.9555846367748,173.75399306184318,174.62508719966678,estensione
destro,102.0337956291661,110.6107331949045,162.6712700338014,167.159579476263,71.55622091259536,119.36452255638478,174.36876432120593,176.03743265164366,estensione
destro,119.92163607563779,111.57819694565387,162.40639455389936,165.82522629066196,72.68612363673256,138.74219408502665,175.22087724079387,179.36669779067398,estensione
destro,140.95725550713266,112.31955991888839,163.63855595022105,164.93503405840048,74.11376365626371,161.68275404162927,175.23983637347348,179.23270028884585,estensione
destro,76.20312441655753,116.32965529624371,163.35583813890395,164.5275518185843,77.12332139864576,98.80494809652251,177.7225855971865,177.54494951219675,estensione
destro,152.4875443245818,125.33586642074854,164.77337565122272,164.5561267802158,86.96759314860834,177.28316039298537,177.4358701227752,176.86829819620635,estensione
destro,153.62614448221373,133.15549972119547,164.5528394649637,165.1857662743904,101.48988997785563,179.42164130557362,178.91758578838966,176.97427833809337,estensione
destro,156.22388300782197,139.64545418983806,164.6312338391818,166.33121783076155,120.73372985970822,175.5670707707225,179.80239158428557,176.26113805731626,estensione
destro,156.5188502564927,146.76410935193417,164.89509389633264,166.31995304070054,135.18061462940906,176.58882834021347,179.94102930865958,175.57330348360406,estensione
destro,156.52180086607754,153.85739413775028,165.7099334192391,166.55128808768106,148.77140687935463,177.0607489908673,179.67585404346315,175.438747926274,rilascio
destro,156.9808625219811,157.42253988093415,166.93553923081316,167.5656604580665,163.1899663625703,176.27339293907977,177.18532400373581,175.65964788901084,rilascio
destro,157.41097957898478,158.73740883222428,167.83457609752776,168.3103073831133,165.6819152932634,178.97886836257075,175.74770592344098,176.6554972730536,rilascio
destro,157.4879495031823,161.63497210312926,168.5071813348119,168.51036153695136,169.88897472059134,179.7686863550754,175.46632308442113,178.46285898149821,rilascio
destro,160.05059041232994,161.04766464958004,169.6770997850813,169.38393264849262,170.86838589195307,177.77319190691355,174.1158662114368,178.38605293048735,rilascio
destro,159.40964853659332,159.99820890033686,170.0193865808546,170.2623756017493,166.70913176708416,179.72778878381348,173.93878402326987,178.46181985856896,rilascio
destro,160.24642588890384,160.05080258592588,169.96632500424826,171.04945445783997,162.5226897688738,179.54854735590857,174.06992239379585,179.8977751496156,rilascio
destro,161.00384281021016,159.6831353886893,170.16003752812085,171.4111645529155,159.9405155059517,178.48060062148286,174.72663269815186,178.7869687986759,rilascio
destro,160.86585131659444,160.60695346188828,169.82581299021524,170.92792229942702,159.2891586929092,179.26375603690408,174.4105909721492,178.65621028403274,rilascio
destro,160.0324216858007,161.45166777871333,169.6497842641491,169.84563945880615,159.39356632352542,179.08571200939983,174.3202458248078,179.76875937539072,rilascio
destro,160.27380110925196,162.74350766474208,170.53217939077422,168.9546502849026,160.62603706461854,179.2601277840139,174.70009034880744,179.108602298061,rilascio
destro,160.30120711503477,162.97035649244745,170.56697664294072,168.95344514759094,161.71160472694754,178.88895922031602,174.82842907712006,179.88346456920922,rilascio
destro,161.26019776688273,163.0191515572824,170.05364407109815,169.0532299274399,161.6561861948909,178.975318011315,176.39786146564953,179.12748146818387,rilascio
destro,163.34936514641345,163.51573912045754,169.5978776547285,169.462490490264,160.5926796806823,175.1803106626251,177.74849816487185,176.5146451496118,rilascio
destro,164.1382113014487,162.1071651448421,169.4742578616566,168.70803268862502,157.6366598290632,174.82494209949974,179.44677193403083,175.31744131428698,Follow-Through
destro,165.94424036672592,158.01841617854308,169.81336384735127,167.5385298596088,149.83721419599394,173.03302959827644,179.85387833746768,175.29527396707348,Follow-Through
destro,166.26258714339036,154.16158716279537,171.31109386108054,166.71566627077928,142.84148816082202,171.9493828681344,177.81565156581803,175.9903512631046,Follow-Through
