mano_dominante,angolo_spalla_sx,angolo_spalla_dx,angolo_anca_sx,angolo_anca_dx,angolo_gomito_dx,angolo_gomito_sx,angolo_ginocchio_sx,angolo_ginocchio_dx,fase_tiro
destro,22.743635346118555,11.46492816222145,164.34989247629744,178.3260175464893,140.31463190145362,38.75202121493258,163.21326788254734,179.55323242930342,none
destro,21.710761055610067,12.988343795172428,168.23306903589364,178.00302719868483,116.23287446815847,65.95277262858791,174.47817954108973,179.62042809864326,none
destro,20.42334321688956,13.423591696960168,170.34483855389038,176.0398644430388,73.06674178475295,54.03807979804863,178.8667114578085,179.9808634705498,none
destro,21.16679268657823,14.327280225784834,171.36707497218015,176.799710002952,49.65821269925266,49.028336474168505,178.8488756771019,175.50140863646502,none
destro,21.995394675625523,14.094708967278285,170.74791105368502,178.12230468562691,49.21210359281928,47.046000380094235,179.5486124749495,173.01014429654924,none
destro,25.05011210070821,16.289181195973857,172.44940782185847,179.17744686258774,38.33444995784773,27.31776967964025,178.1689955142016,163.12028711157302,none
destro,24.697795630952548,20.60865467037261,170.03620270464597,177.64409618289804,20.974589433607637,5.592778002169978,178.20056669008994,157.22021170497567,none
destro,25.957077878768796,22.963836732292716,169.09698189499144,178.7079680902763,9.998213878235646,178.38505995365227,179.79133811014037,47.131095329350956,none
destro,22.170989995168778,24.600524201631575,169.73134203034283,179.47970756320433,80.18721435743615,47.6939479636256,178.7513449399321,133.64635492168847,none
destro,21.76165778432286,25.282063240793605,169.75037339858446,179.787707977492,6.23555355472411,31.37350351286119,178.2854447272116,137.8657462107127,none
destro,11.616905187852723,77.36381577816815,169.29180759784063,175.86293290343113,106.79347929565134,43.68542392286907,179.49356743685075,146.59103071100526,none
destro,3.752695954598009,40.158125336221794,169.9912488632401,174.66581496035724,152.57047125312536,43.0483872527063,174.39093483267482,157.50966537664272,none
destro,6.31579389431341,15.952353189008742,171.99561329953403,172.4322309729464,37.73044734035134,48.25506154168797,170.51781252689204,163.50601021402895,none
destro,10.086476259793704,15.173449109556175,172.81411794486056,170.95683910463762,2.3545587476849232,80.28455375378144,164.33449828969208,171.9009172681631,none
destro,10.660627754086866,15.772823526201593,173.29714228624124,170.29086669790846,9.660115824791026,81.37462418633055,163.8762663443331,171.79086785391158,none
destro,13.3595273404283,8.29702349744289,173.50117405722193,171.32683140037602,93.96893352169795,95.38351969539093,157.0714628178596,179.95937627116726,none
destro,17.636207110611675,6.891631527921509,173.0603190906579,170.37097832066718,173.2163372811215,106.98191975071481,143.22426542672576,177.21765546915037,none
destro,20.58173989439935,1.133593790462201,174.38047145894186,169.590276837097,175.73666313431164,115.95653795613936,123.18378696432902,179.41651065698468,none
destro,23.35629213945551,4.720227228366669,174.8255357671197,170.9733356197987,168.70786538234987,118.73643689419723,110.37013632466136,177.8225615041616,none
destro,22.04120588166076,3.751893131369745,176.99943589447585,169.49458985439878,165.5697116366427,118.42928417308124,107.87660026707643,176.5200347938787,none
destro,21.044130463516186,1.4558180330252783,179.42801093309345,164.97449671822415,171.2123930755236,124.84240455061516,117.48503929122332,167.19256440255344,preparazione
destro,13.5468872933039,3.0879537961254786,177.04014438017947,159.35048178683493,166.85702777841033,134.38342179670408,136.09760067567635,160.17231493786647,preparazione
destro,7.175789133227038,8.696847202030469,167.48537488938416,152.93204621793487,168.86257176833686,138.4045923315185,140.1406886061834,155.81211853613266,preparazione
destro,0.5200613190122734,14.04773410856934,161.5300546460364,148.60520319371759,169.8193853695765,139.6347235434442,148.500470275036,149.74307536043395,preparazione
destro,0.48096445881205113,14.046327558335394,161.44105889747706,146.89080804093138,169.60714703011428,139.41657540089884,148.83614324642446,147.84641652112717,preparazione
destro,4.627369789855968,18.413311791115127,160.48728963458112,146.84517252496403,159.70867247461993,126.11944431591883,154.7493538829429,144.58151119462482,preparazione
destro,13.162133055092113,29.06072797994055,161.5660182283501,144.71827860043712,111.32516553837681,83.12632886743428,154.24286583864807,141.12476133590644,estensione
destro,41.760766393721354,48.60473259558209,164.3611988444179,148.43199132600924,66.86111218307055,86.13630907592045,152.544413676251,140.959157945438,estensione
destro,84.20861635460145,79.74239058358883,168.7261447052478,153.90384609675652,81.37249434737988,100.63855057778444,157.22387648875826,143.38499373249658,estensione
destro,79.97522682172827,80.74921741950257,169.47928898732084,156.23806146598596,82.96303184209349,97.10163589314811,156.81065357252908,145.34377929611315,estensione
destro,109.68779847618197,99.22524557595204,173.30366873028603,163.7009844335231,96.4514963854518,114.3356820454588,161.40352800710787,151.99165974426043,estensione
destro,132.8949567763673,121.23378550199484,178.10332305510207,174.61480072245874,111.4505845305467,137.14863642336604,176.22820414685813,166.8626962076739,estensione
destro,138.70967599981478,133.9193627379782,175.3094567878063,179.31330358424404,120.38681100518467,141.83059702302631,177.96059711028894,178.89054729153153,estensione
destro,141.92339830646284,138.72212583174075,176.80788871043794,179.65132205093585,123.72629798653026,142.17597880707686,174.5149508062698,176.98903916240698,estensione
destro,142.38540670071507,138.67051275085993,177.39368510359907,179.7988403342319,122.09000337216766,142.34231527870762,173.6951120587713,176.90176502223773,estensione
destro,143.58360213303453,132.7344712549124,179.16874663320556,179.2120460179531,117.16943343929374,135.22263035946457,172.27886999201328,175.55256832560855,estensione
destro,145.6400369424239,130.90950957886557,179.46310663143237,179.19861279921514,114.87507321895595,140.41886891159956,173.67368558824884,175.7763341488746,estensione
destro,148.49300838942492,133.9823380206419,178.6563521080521,178.73100315960542,123.14945135538426,151.59482426530295,176.7016248145994,179.3058393038911,estensione
destro,153.38498276437113,143.59738957512835,178.16587030509277,178.39736895429363,142.64662072730914,164.1766532145673,177.87713599659915,179.1782547761717,estensione
destro,152.43756198620187,143.3802850032884,177.34945690420244,178.73748958720387,143.90861666514155,163.68340390042886,177.89583072334827,179.631893846809,rilascio
destro,153.66748275979393,152.60156010621668,178.0481642314618,178.57561365689847,162.60028581705203,169.52041697687392,178.10467518238573,179.74106521003824,rilascio
destro,151.46980275951728,156.56430012979914,179.18329919817683,179.40428115823676,174.63071797501914,176.0249965681406,176.34025635148816,179.4049069458767,rilascio
destro,149.3009991600281,157.18209962936632,179.7133403711406,179.42015736707745,175.027592281071,173.5900587043719,176.11805885774996,177.83394506983979,rilascio
destro,148.72310386164878,151.85897711507215,179.56583192819005,179.01315801399747,168.61359589358653,172.1458195998575,175.09026151156928,177.02434700900156,rilascio
destro,148.19088887503145,150.75313042764444,179.3822008522627,179.84655112690248,166.8192906646475,172.57154181624205,175.32048847752782,177.0753307862511,rilascio
destro,145.28228679806716,149.6288104661184,179.00100998208245,179.3491967588417,168.046841172583,169.29817799623325,174.33576716292427,175.51754848071502,rilascio
destro,146.14124076892293,148.72459935823784,177.3644177657566,179.6212593693496,168.39327237342914,168.74989067397178,173.20740784638113,174.65744309939805,rilascio
destro,145.25941345672493,143.0619490369689,177.30080668396658,178.95983486868113,161.0893593269708,164.6816625335976,168.56445252236546,170.64249229139295,Follow-Through
destro,135.63866827145605,129.34547764865562,174.27295411054368,175.2154056954822,140.97276130394675,156.41966194665036,170.43634342708333,162.48298402628097,Follow-Through
destro,136.88662813855055,131.01179425642874,174.13888081400836,174.47175357706112,141.22676649650484,158.2296570110402,170.60399329408125,161.02469703785673,none
destro,105.35321002841974,97.25235398900435,174.46423461190463,171.65602365923687,105.84242754130669,129.74471846684742,169.38069061246927,156.60363708905695,none
destro,36.26509404697871,55.521407494777606,177.37123068380194,169.150578578744,71.42057691495096,67.12226049889348,164.293718637511,153.49977855925198,none
destro,4.596704555911521,12.423638872423567,177.81488829747104,168.96747925022788,65.7392081201216,60.79431962810949,162.9973101176336,153.50734598027964,none
destro,12.726525131629021,1.3100083018489146,177.1662534161294,171.5359852284801,113.33293168186478,124.2501709563596,163.16222236573594,154.73946489578634,none
destro,13.082139681434398,1.714618679025765,176.66799211280423,170.91690402639193,114.3417633327202,124.17112325457478,164.47284004740405,154.47924809928034,none
destro,16.732011581974618,2.290152759454247,173.76088065260336,174.61314752027107,160.31584641608532,155.7428207258442,168.00514759714358,158.61242490320814,none
destro,19.480406756040402,6.330461319691156,172.543626081901,176.8671692068481,174.0917655990613,169.4793281183699,169.35270902309176,161.45303589795904,none
destro,22.93222263043522,8.071791429595882,171.7189182719664,175.87434480447325,177.91896933892596,175.27694557097612,171.93981667275725,159.55289925451606,none
destro,27.591919737183154,14.855010353777264,169.73111379221535,177.1202990798312,177.6428041094789,174.79294716209395,174.67850452649117,156.95801191463897,none
destro,28.008094267596817,15.117524439092094,169.22510061109955,177.47830977472827,177.44243523952858,174.27619907562448,175.3178661499008,156.57323837674898,none
destro,31.182515253557753,17.95912986038072,170.77605853384583,178.90239129566254,173.78476673158653,171.4940681343863,173.9345763637074,156.70878857756807,none
destro,33.24503638595422,18.804644254243662,172.9591905716706,179.59409849767064,173.86736185773935,170.79367029859722,170.81008290346014,154.79786125158202,none
destro,33.430402021283754,17.311540091162673,174.0569134713086,179.18164418921023,174.65379301996313,169.51683225011442,168.58810279343226,158.29496031969268,none
destro,30.109777322045925,13.262650982981704,175.825649140707,179.71169748044443,175.51698397790184,169.7947686177692,161.90265383455363,161.47860654448814,none
destro,29.78546438076011,12.65622088568282,175.65813621140518,179.48746208098885,176.1554510119281,170.2028516204049,163.16300166536297,160.13925475615505,none
destro,27.81738724622578,5.6066885330321,178.8010341760455,179.07943415591944,172.87912475456181,169.6568952220234,160.93169705170186,164.25628234371086,none
destro,24.332479384936104,3.676465919244707,177.21348278972937,177.48156182341717,173.81766013538396,168.60423134987852,167.02400883113307,143.34318088492515,none
destro,19.142709307498908,6.471894413839272,176.95890473784655,176.53872468439715,167.38695319491922,167.4768463045433,170.727770779876,141.4017321650579,none
destro,13.643204800880133,0.05711836544929506,174.98744009661573,176.87954970631273,158.10988063671243,165.5559244067916,168.84709530872664,150.64647145624534,none
destro,12.861361426358407,1.821398997728154,174.26343614638088,177.76434488025885,157.80018250792943,165.9851112402051,162.45882244112119,162.6811498612137,none
destro,8.768691459235535,7.407999584314534,172.1584139022668,176.73713114356437,146.7446727937132,153.84119783942066,169.32180040875218,157.73905020925662,none
destro,4.979653403766822,8.507125492077277,173.2654200744964,175.61452452567178,135.92029307059062,134.10399322657142,174.83365133877493,159.0538389866137,none
destro,1.3119927579973831,7.316455790849941,171.39830125709986,172.8507878031369,130.44312213071072,112.89051319427503,176.40515563423298,159.26727714718848,none
destro,1.1913890194315846,6.3567699716085375,173.15105521974243,172.0848264347444,128.4593125395337,112.49120830617485,178.0898431240757,160.65817341474445,none
