mano_dominante,angolo_spalla_sx,angolo_spalla_dx,angolo_anca_sx,angolo_anca_dx,angolo_gomito_dx,angolo_gomito_sx,angolo_ginocchio_sx,angolo_ginocchio_dx,fase_tiro
sinistro,35.21870233379039,16.980197231804134,165.05987978543817,158.8982487631224,144.37029323064462,143.6942081920994,175.47749321850966,156.4115844331371,none
sinistro,34.11311924054588,15.332559947189582,166.44859282926456,158.2852478440111,142.32598537337216,144.5054739108441,174.28811372672214,156.75997147304685,none
sinistro,31.121191824432866,13.903968338882201,165.38383618615754,154.6927487682737,139.3350822870605,144.40726852431217,175.5979916242795,154.7880950940893,none
sinistro,26.767709734525567,12.703743976173186,165.21248657115066,154.18342923451593,137.35013938944633,142.26960473016774,176.11718295579962,155.6171438470392,preparazione
sinistro,25.563536815152705,10.887101061997951,165.46284715515606,155.0336044643699,134.91537260620333,142.8657722853003,173.88843311570264,161.02221984725455,preparazione
sinistro,24.46287585169865,9.745990504283307,165.9076507506356,154.68548785485737,134.42396552034896,150.74269506897647,171.43044704241197,165.69602988793426,preparazione
sinistro,24.378530491976136,7.473541932445303,163.98192069531083,155.08397681971272,132.1004232694315,156.28056006099342,170.98602914269324,168.16196984472953,preparazione
sinistro,23.712754318277597,6.778194058554388,164.9317749852361,154.26285080107965,130.290418751232,176.2750252639032,171.37311014928198,174.15192216580917,preparazione
sinistro,21.01662616162707,6.421907871965087,163.90171110776146,153.96064998326904,128.0802639521815,164.1122543871201,171.36167022261847,178.02728638547012,preparazione
sinistro,19.131965231283733,6.5794820813172015,166.13540666655524,152.5321878876752,129.03543421273318,171.1707793687793,169.190846314557,179.72111344399787,preparazione
sinistro,18.889585484728922,7.142195638052618,166.02191057636517,152.54370052796284,125.20007989107063,167.46504153474626,167.8645719021761,177.76798979701556,preparazione
sinistro,19.9899203262774,8.280756259664829,164.78787292687934,152.15319745123574,121.49922528796552,162.1193680032054,168.27442733734478,178.04073462659775,preparazione
sinistro,19.61233123720242,9.04367981213492,165.1557177919187,151.64409901597736,114.79311771086341,155.28538557445282,167.72132090114778,179.37793226577293,estensione
sinistro,22.016905607756815,9.743235793398663,164.9746319629921,152.93526121396096,99.10814034895219,153.68949534009107,167.64469230834717,178.8850635295856,estensione
sinistro,27.788928467568418,11.161832791687194,166.96498840447336,152.6106587637509,80.5198578740116,50.67134278897349,166.63214689609032,178.93330785241486,estensione
sinistro,33.234203705814075,11.303509183226137,167.60788690032717,154.59203012833052,64.96486416581992,13.107386617875289,164.08136979175592,175.718763455618,estensione
sinistro,38.31306903275618,12.76211701035705,167.43262568211438,156.95240252775864,53.48759803044636,11.078708164200648,165.65045509763277,170.46264962869304,estensione
sinistro,43.60985023451384,9.377116808711163,166.13528076586252,156.76376550351597,45.947609468464826,14.520975925350605,165.90250593110014,170.88335473486262,estensione
sinistro,50.009409821564844,2.4630633687348964,163.59912120689773,159.8140335844118,41.73576433021596,19.860154223064047,166.83119651007797,168.14478676808963,estensione
sinistro,61.26916218460862,2.407962507091988,160.78339512176262,163.29677996306958,34.54102359481187,24.263231334943697,169.66941530004584,167.4333250311499,estensione
